"パッケージ名","バージョン（2026/05/29時点のCRANの最新）","Depends","Imports","LinkingTo","再帰依存（直接依存を除く）"
"gtsummary","2.5.0","","cards, cardx, cli, dplyr, glue, gt, lifecycle, rlang, tidyr, vctrs","","base64enc, bigD, bitops, bslib, cachem, commonmark, cpp11, curl, digest, evaluate, farver, fastmap, fontawesome, fs, generics, graphics, grDevices, highr, htmltools, htmlwidgets, jquerylib, jsonlite, juicyjuice, knitr, labeling, litedown, magrittr, markdown, memoise, methods, mime, pillar, pkgconfig, purrr, R6, rappdirs, RColorBrewer, Rcpp, reactable, reactR, rmarkdown, sass, scales, stats, stringi, stringr, tibble, tidyselect, tinytex, tools, utf8, utils, V8, viridisLite, withr, xfun, xml2, yaml"
"haven","2.5.5","","cli, forcats, hms, lifecycle, methods, readr, rlang, tibble, tidyselect, vctrs","cpp11","bit, bit64, clipr, crayon, glue, graphics, grDevices, magrittr, pillar, pkgconfig, prettyunits, progress, R6, stats, tzdb, utf8, utils, vroom, withr"
"janitor","2.2.1","","dplyr, hms, lifecycle, lubridate, magrittr, purrr, rlang, snakecase, stringi, stringr, tidyr, tidyselect","","cli, cpp11, generics, glue, graphics, grDevices, methods, pillar, pkgconfig, R6, stats, tibble, timechange, tools, utf8, utils, vctrs, withr"
"jsonlite","2.0.0","methods","","",""
"lubridate","1.9.5","methods","generics, timechange","","cpp11"
"metatools","0.3.0","","cli, dplyr, lifecycle, magrittr, metacore, purrr, rlang, stringr, tibble, tidyr","","cellranger, cpp11, crayon, generics, glue, graphics, grDevices, hms, methods, pillar, pkgconfig, prettyunits, progress, R6, readxl, rematch, stats, stringi, tidyselect, tools, utf8, utils, vctrs, withr, xml2"
"mice","3.19.0","","broom, dplyr, glmnet, graphics, grDevices, lattice, mitml, nnet, Rcpp, rpart, stats, tidyr, utils","cpp11, Rcpp","backports, bit, bit64, boot, cli, clipr, codetools, crayon, forcats, foreach, generics, glue, grid, haven, hms, iterators, jomo, lifecycle, lme4, magrittr, MASS, Matrix, methods, minqa, nlme, nloptr, numDeriv, ordinal, pan, parallel, pillar, pkgconfig, prettyunits, progress, purrr, R6, rbibutils, RcppEigen, Rdpack, readr, reformulas, rlang, shape, splines, stringi, stringr, survival, tibble, tidyselect, tools, tzdb, ucminf, utf8, vctrs, vroom, withr"
"mmrm","0.3.17","","checkmate, generics, lifecycle, MASS, Matrix, methods, nlme, parallel, Rcpp, Rdpack, stats, stringr, tibble, TMB, utils","Rcpp, RcppEigen, testthat, TMB","backports, brio, callr, cli, crayon, desc, diffobj, evaluate, fs, glue, graphics, grDevices, grid, jsonlite, lattice, magrittr, pillar, pkgbuild, pkgconfig, pkgload, praise, processx, ps, R6, rbibutils, rlang, rprojroot, stringi, tools, utf8, vctrs, waldo, withr"
"openxlsx","4.2.8.1","","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","tools"
"purrr","1.2.2","","cli, lifecycle, magrittr, rlang, vctrs","cli","glue, methods, utils"
"renv","1.2.3","","utils","",""
"rtables","0.6.16","formatters, magrittr, methods","checkmate, htmltools, lifecycle, stats, stringi","","backports, base64enc, cli, digest, fastmap, grDevices, grid, rlang, tools, utils"
"rtables.officer","0.1.2","formatters, rlistings, rtables","checkmate, flextable, lifecycle, officer, stats, stringi, systemfonts","","askpass, backports, base64enc, bslib, cachem, cli, cpp11, data.table, digest, dplyr, evaluate, fastmap, fontawesome, fontBitstreamVera, fontLiberation, fontquiver, fs, gdtools, generics, glue, graphics, grDevices, grid, highr, htmltools, jquerylib, jsonlite, knitr, magrittr, memoise, methods, mime, openssl, pillar, pkgconfig, purrr, R6, ragg, rappdirs, Rcpp, rlang, rmarkdown, sass, stringr, sys, textshaping, tibble, tidyr, tidyselect, tinytex, tools, utf8, utils, uuid, vctrs, withr, xfun, xml2, yaml, zip"
"rbmi","1.6.0","","assertthat, fs, jinjar, Matrix, methods, mmrm, pkgload, R6, stringr, tools","","backports, brio, callr, checkmate, cli, cpp11, crayon, desc, diffobj, evaluate, generics, glue, graphics, grDevices, grid, jsonlite, lattice, lifecycle, magrittr, MASS, nlme, parallel, pillar, pkgbuild, pkgconfig, praise, processx, ps, rbibutils, Rcpp, RcppEigen, Rdpack, rlang, rprojroot, stats, stringi, testthat, tibble, TMB, utf8, utils, vctrs, waldo, withr"
"readr","2.2.0","","cli, clipr, crayon, glue, hms, lifecycle, methods, R6, rlang, tibble, utils, vroom, withr","cpp11, tzdb","bit, bit64, graphics, grDevices, magrittr, pillar, pkgconfig, prettyunits, progress, stats, tidyselect, utf8, vctrs"
"readxl","1.5.0","","cellranger, tibble, utils","cpp11, progress","cli, crayon, glue, grDevices, hms, lifecycle, magrittr, methods, pillar, pkgconfig, prettyunits, R6, rematch, rlang, utf8, vctrs"
"rlang","1.2.0","","utils","",""
"rlistings","0.2.13","formatters, methods, tibble","checkmate, grDevices, grid, stats, utils","","backports, base64enc, cli, digest, fastmap, glue, htmltools, lifecycle, magrittr, pillar, pkgconfig, rlang, stringi, tools, utf8, vctrs"
"shiny","1.13.0","methods","bslib, cachem, cli, commonmark, fastmap, fontawesome, glue, grDevices, htmltools, httpuv, jsonlite, later, lifecycle, mime, otel, promises, R6, rlang, sourcetools, tools, utils, withr, xtable","","base64enc, digest, fs, graphics, jquerylib, magrittr, memoise, rappdirs, Rcpp, sass, stats"
"stringr","1.6.0","","cli, glue, lifecycle, magrittr, rlang, stringi, vctrs","","methods, stats, tools, utils"
